,simulation,n_samples,criterion,n_dimensions,score,runtime
199,Logarithmic,14,oblique,10,94021.80612844069,1.2139620780944824
200,Logarithmic,17,mae,10,99909.56434630342,1.5948994159698486
201,Logarithmic,17,mae,10,100071.40649394998,1.6005654335021973
202,Logarithmic,17,mae,10,99501.09222583155,1.489943027496338
203,Logarithmic,17,mae,10,99374.27248645954,1.4286487102508545
204,Logarithmic,17,mae,10,99628.89845210222,1.5089271068572998
205,Logarithmic,17,mae,10,99190.76992327305,1.464477300643921
206,Logarithmic,17,mae,10,99837.55533665672,1.402033805847168
207,Logarithmic,17,mae,10,99363.35218644267,1.404853343963623
208,Logarithmic,17,mae,10,99575.67662533969,1.4300878047943115
209,Logarithmic,17,mae,10,99172.78423958816,1.4615426063537598
210,Logarithmic,17,mse,10,100400.1179669743,1.1462736129760742
211,Logarithmic,17,mse,10,100400.81864897665,1.0416476726531982
212,Logarithmic,17,mse,10,100168.92878876728,1.1615447998046875
213,Logarithmic,17,mse,10,100278.22289538126,1.122453212738037
214,Logarithmic,17,mse,10,100366.04332610892,1.0599334239959717
215,Logarithmic,17,mse,10,99782.30346498593,1.1870293617248535
216,Logarithmic,17,mse,10,100374.59797318545,1.0813744068145752
217,Logarithmic,17,mse,10,100149.29959983451,1.317030906677246
218,Logarithmic,17,mse,10,100036.4975812753,1.090933084487915
219,Logarithmic,17,mse,10,100276.43507532922,1.1827404499053955
220,Logarithmic,17,friedman_mse,10,99254.19224011563,1.2080068588256836
221,Logarithmic,17,friedman_mse,10,99560.6783999311,1.1066441535949707
222,Logarithmic,17,friedman_mse,10,99513.22030329377,1.3611299991607666
223,Logarithmic,17,friedman_mse,10,98991.73372106525,1.2358438968658447
224,Logarithmic,17,friedman_mse,10,99159.63428144883,1.143747329711914
225,Logarithmic,17,friedman_mse,10,99278.49786604027,1.181769609451294
226,Logarithmic,17,friedman_mse,10,98666.56184243933,1.0849783420562744
227,Logarithmic,17,friedman_mse,10,99240.34892794694,1.2248661518096924
228,Logarithmic,17,friedman_mse,10,99202.02967565182,1.1103429794311523
229,Logarithmic,17,friedman_mse,10,99610.08041423142,1.24835205078125
230,Logarithmic,17,axis,10,96599.07577164762,1.6962029933929443
231,Logarithmic,17,axis,10,96559.76308962419,1.7149102687835693
232,Logarithmic,17,axis,10,96656.58480854308,1.7477624416351318
233,Logarithmic,17,axis,10,96726.95449407861,1.6505749225616455
234,Logarithmic,17,axis,10,96555.91153727361,1.6259417533874512
235,Logarithmic,17,axis,10,96562.89724398087,1.740039587020874
236,Logarithmic,17,axis,10,96578.66466587453,1.7169766426086426
237,Logarithmic,17,axis,10,97053.19365631184,1.642975091934204
238,Logarithmic,17,axis,10,96882.9255898861,1.739135980606079
239,Logarithmic,17,axis,10,96245.78293539464,1.899106502532959
240,Logarithmic,17,oblique,10,96468.10827921412,1.384307622909546
241,Logarithmic,17,oblique,10,96632.43820598636,1.2858631610870361
242,Logarithmic,17,oblique,10,96526.10552917774,1.3970603942871094
243,Logarithmic,17,oblique,10,96492.95193888829,1.2994654178619385
244,Logarithmic,17,oblique,10,96384.00336008171,1.3688933849334717
