,n_samples,simulation,criterion,average,error
343,30,multi_indept,mse,0.15818848541599193,0.001340696217348741
344,30,multi_indept,friedman_mse,0.15690157469768132,0.0012729349489464562
345,30,bernoulli,mae,60.650319335257734,0.17683734665681503
346,30,bernoulli,mse,60.57031774534513,0.7116472514784128
347,30,bernoulli,friedman_mse,58.26328443092162,0.3440426940060807
348,30,square,mae,0.08368345183883727,0.00012832175809085152
349,30,square,mse,0.08377694171715924,0.00013962500061632087
350,30,square,friedman_mse,0.08391058668489881,0.00010676627848739567
351,30,linear,mae,0.7722325986099845,0.005635494455866357
352,30,linear,mse,0.8089172371512674,0.008118409794889956
353,30,linear,friedman_mse,0.7500965901016944,0.004552957238660841
354,30,exponential,mae,583.9257217224488,13.117833539866355
355,30,exponential,mse,537.9482499814355,2.530959021781374
356,30,exponential,friedman_mse,468.095846668585,7.132774985120355
357,30,cubic,mae,149.23239419275032,1.6541180101717012
358,30,cubic,mse,145.97960933460496,3.4900824419247187
359,30,cubic,friedman_mse,150.37876121550204,1.8008137747798445
360,35,joint_normal,mae,1.4317453674045815,0.007896717256894881
361,35,joint_normal,mse,1.4273027305292125,0.006772575027745094
362,35,joint_normal,friedman_mse,1.457010456948823,0.007070259805513127
363,35,sine_4pi,mae,0.10171658170136182,0.00013210355758564945
364,35,sine_4pi,mse,0.10227095334119866,0.00013806412684728127
365,35,sine_4pi,friedman_mse,0.10220392402500866,7.699881536588533e-05
366,35,sine_16pi,mae,0.10184033251457625,0.00011350631495896702
367,35,sine_16pi,mse,0.10236210477094529,0.00013658287391249836
368,35,sine_16pi,friedman_mse,0.10155943327835366,0.00011242977474368354
369,35,multi_noise,mae,0.14738072959196663,0.00025468694471214007
370,35,multi_noise,mse,0.14529302548577044,0.00028753443005362253
371,35,multi_noise,friedman_mse,0.1448009363980668,0.00017157570811731227
372,35,step,mae,0.5387303345782013,0.0030551891145946548
373,35,step,mse,0.5295723460589832,0.0022852896880833366
374,35,step,friedman_mse,0.5337887575840825,0.0033883311060413134
375,35,spiral,mae,225.05723172720536,2.9671434637016287
376,35,spiral,mse,226.16266778267186,2.2215366883388508
377,35,spiral,friedman_mse,216.10410239512757,2.5061455645333304
378,35,circle,mae,0.1060313542375307,0.00036102626165707743
379,35,circle,mse,0.10496826990733583,0.0009074826150042913
380,35,circle,friedman_mse,0.105373013607487,0.00048497898738311587
381,35,ellipse,mae,0.10632720886696696,0.0016284697038634517
382,35,ellipse,mse,0.10553996609287278,0.0005355559643316406
383,35,ellipse,friedman_mse,0.104548403060544,0.0007767809592122687
384,35,diamond,mae,0.08362406242497804,0.00011734607996969769
385,35,diamond,mse,0.08382264557756894,0.00011203407019707812
386,35,diamond,friedman_mse,0.0836036779795339,9.863110046140483e-05
387,35,log,mae,0.4408721546338742,0.0007831960888810141
388,35,log,mse,0.44798699713952106,0.0008809568986918508
389,35,log,friedman_mse,0.44842656777480927,0.0007621493481910467
390,35,quadratic,mae,3.490182044915639,0.06419832112799778
391,35,quadratic,mse,3.4173508469401312,0.010244471321818834
392,35,quadratic,friedman_mse,3.401065959598212,0.011337719674868189
393,35,w_shape,mae,4.63757760964482,0.15972454488597643
394,35,w_shape,mse,4.445827991054398,0.059549038718475326
395,35,w_shape,friedman_mse,4.999188180782026,0.03402917653675239
396,35,two_parabolas,mae,0.06200007748126237,0.0010370428419181554
397,35,two_parabolas,mse,0.06125882901593495,0.00040474554188822345
398,35,two_parabolas,friedman_mse,0.05965581926550828,0.000455084866506198
399,35,fourth_root,mae,0.18936672120475656,0.0007609672068268383
400,35,fourth_root,mse,0.19160043419141193,0.0006811825115743514
401,35,fourth_root,friedman_mse,0.19196483272871273,0.0011741996174363877
402,35,multi_indept,mae,0.15698538806992773,0.0011933107041139654
403,35,multi_indept,mse,0.1589176948362143,0.001761324367768056
404,35,multi_indept,friedman_mse,0.15664177214797811,0.0012069558621656791
405,35,bernoulli,mae,57.32339707917024,0.1762104871395861
406,35,bernoulli,mse,60.855766698149935,0.6534640085947421
407,35,bernoulli,friedman_mse,60.20075891923295,0.2716336505996028
408,35,square,mae,0.08348320726703917,7.338818081184374e-05
409,35,square,mse,0.08331287285499452,6.0018334431222516e-05
410,35,square,friedman_mse,0.08390142896662604,0.00017815000344090082
411,35,linear,mae,0.777255575310143,0.003197303708271115
412,35,linear,mse,0.7343820255239007,0.0035230507426968604
413,35,linear,friedman_mse,0.810577155772075,0.003131536036474421
414,35,exponential,mae,538.4435206009331,6.644566306720157
415,35,exponential,mse,538.3351064874225,3.2388421551695425
416,35,exponential,friedman_mse,495.49725770746625,3.2294269732333003
417,35,cubic,mae,156.236129628652,1.9148087714520332
418,35,cubic,mse,146.02240039385507,2.8719981170987126
419,35,cubic,friedman_mse,164.03331528110522,2.022805004244179
420,40,joint_normal,mae,1.4277285466954068,0.014242624493436927
421,40,joint_normal,mse,1.4184752544570163,0.00697322183020647
422,40,joint_normal,friedman_mse,1.4341035933863706,0.011874154317042671
423,40,sine_4pi,mae,0.10203199295361429,0.00011161181781928365
424,40,sine_4pi,mse,0.10225071583179443,0.00010004627909690653
425,40,sine_4pi,friedman_mse,0.1018318665402695,0.00016526363897769646
426,40,sine_16pi,mae,0.1018606461315271,0.00013775282080718464
427,40,sine_16pi,mse,0.10176554287306463,0.00011388943292579022
428,40,sine_16pi,friedman_mse,0.10152848875541029,6.651265598185135e-05
429,40,multi_noise,mae,0.14864006998927165,0.00030279829784931667
430,40,multi_noise,mse,0.14658627165772817,0.00013836931702164069
431,40,multi_noise,friedman_mse,0.1447406405767974,0.00010671686632864578
432,40,step,mae,0.5325175093022755,0.002482802579768148
433,40,step,mse,0.530574214072457,0.0015770149458640564
434,40,step,friedman_mse,0.5356051726760153,0.0024782373311699663
435,40,spiral,mae,225.80321605929052,1.9145267667283017
436,40,spiral,mse,223.10840766182505,2.0039591359018494
437,40,spiral,friedman_mse,226.90402830927437,2.180100898460361
438,40,circle,mae,0.10464747993625334,0.0005916736758599971
439,40,circle,mse,0.10487523874498512,0.0008566532426606275
440,40,circle,friedman_mse,0.10465216659333514,0.0007976734070297453
441,40,ellipse,mae,0.10720962812049564,0.0016276343255333286
442,40,ellipse,mse,0.10473348215199833,0.00077268926881164
443,40,ellipse,friedman_mse,0.10511966303391893,0.0007214827413998431
444,40,diamond,mae,0.08359359504273124,0.00011150699096128188
445,40,diamond,mse,0.08342332143411488,0.000108434007095518
