,sim,n_samples,n_dim,split,mse
198,spiral_sim,30,1,mse,1.4076022237716301
199,spiral_sim,30,1,mse,0.7007340903542921
200,cub_sim,30,2,mse,701.8707794561055
201,cub_sim,30,2,mse,210.89579457010998
202,cub_sim,30,2,mse,4622.139709825684
203,cub_sim,30,2,mse,5720.669464691803
204,cub_sim,30,2,mse,5257.084470530358
205,cub_sim,30,2,mse,2275.297921043487
206,cub_sim,30,2,mse,250.60889244455564
207,cub_sim,30,2,mse,634.1456339254402
208,cub_sim,30,2,mse,4591.495700061135
209,cub_sim,30,2,mse,530.5330537518417
210,spiral_sim,30,2,mse,1.486089441382687
211,spiral_sim,30,2,mse,1.4056491953048496
212,spiral_sim,30,2,mse,0.3255976081855324
213,spiral_sim,30,2,mse,0.621319507763057
214,spiral_sim,30,2,mse,0.6734515966492433
215,spiral_sim,30,2,mse,0.9534561539755221
216,spiral_sim,30,2,mse,0.5186819068255233
217,spiral_sim,30,2,mse,1.3854932701835851
218,spiral_sim,30,2,mse,0.33327372601843436
219,spiral_sim,30,2,mse,0.8255623690866027
220,cub_sim,30,3,mse,260.50537937846843
221,cub_sim,30,3,mse,486.75140591324737
222,cub_sim,30,3,mse,122.43888812862295
223,cub_sim,30,3,mse,506.12054784752047
224,cub_sim,30,3,mse,551.9830687778347
225,cub_sim,30,3,mse,738.7519530570784
226,cub_sim,30,3,mse,331.1714521617971
227,cub_sim,30,3,mse,323.83581715813557
228,cub_sim,30,3,mse,535.7863842549867
229,cub_sim,30,3,mse,84.9285350622413
230,spiral_sim,30,3,mse,1.7791773549962029
231,spiral_sim,30,3,mse,0.8433869057628129
232,spiral_sim,30,3,mse,1.0008398377909054
233,spiral_sim,30,3,mse,1.5203938608640344
234,spiral_sim,30,3,mse,0.630003651054637
235,spiral_sim,30,3,mse,0.6396229114516949
236,spiral_sim,30,3,mse,1.009551097178575
237,spiral_sim,30,3,mse,1.2166310154291808
238,spiral_sim,30,3,mse,1.1548218598677118
239,spiral_sim,30,3,mse,0.7727936140359761
240,cub_sim,30,4,mse,5384.740521844345
241,cub_sim,30,4,mse,4688.110873228909
242,cub_sim,30,4,mse,3602.0862821329747
243,cub_sim,30,4,mse,371.33361751869387
244,cub_sim,30,4,mse,1008.4273324010289
245,cub_sim,30,4,mse,1437.0932900290693
246,cub_sim,30,4,mse,497.79579337807775
247,cub_sim,30,4,mse,864.6889636094867
248,cub_sim,30,4,mse,1256.343516683343
249,cub_sim,30,4,mse,1025.116935652535
250,spiral_sim,30,4,mse,0.17618991947379917
251,spiral_sim,30,4,mse,0.4948838094483744
252,spiral_sim,30,4,mse,2.4103148872180786
253,spiral_sim,30,4,mse,1.240018019786816
254,spiral_sim,30,4,mse,1.3592384183953716
255,spiral_sim,30,4,mse,0.9245421122710676
256,spiral_sim,30,4,mse,0.9038230601414484
257,spiral_sim,30,4,mse,1.951056843493767
258,spiral_sim,30,4,mse,2.877585742934179
259,spiral_sim,30,4,mse,2.095665918541789
260,cub_sim,30,5,mse,1280.4413321780019
261,cub_sim,30,5,mse,11615.191811780653
262,cub_sim,30,5,mse,2256.8385970559593
263,cub_sim,30,5,mse,921.8613294051391
264,cub_sim,30,5,mse,10247.345346319942
265,cub_sim,30,5,mse,287.0216177632973
266,cub_sim,30,5,mse,6456.4337281678645
267,cub_sim,30,5,mse,3473.4344503507523
268,cub_sim,30,5,mse,4529.210872721598
269,cub_sim,30,5,mse,307.8763838369242
270,spiral_sim,30,5,mse,1.0261016869653234
271,spiral_sim,30,5,mse,1.136351365965674
272,spiral_sim,30,5,mse,1.0219695661123587
273,spiral_sim,30,5,mse,2.980215692795234
274,spiral_sim,30,5,mse,1.7896425846417199
275,spiral_sim,30,5,mse,1.320411737560438
276,spiral_sim,30,5,mse,2.0569539047241077
277,spiral_sim,30,5,mse,1.1859991889965684
278,spiral_sim,30,5,mse,0.83660293060491
279,spiral_sim,30,5,mse,3.3007567917706098
280,cub_sim,30,6,mse,6461.473156473027
281,cub_sim,30,6,mse,173.39595757849978
282,cub_sim,30,6,mse,1701.772435287003
283,cub_sim,30,6,mse,2317.4504877332874
284,cub_sim,30,6,mse,10232.664891589033
285,cub_sim,30,6,mse,3577.4702195640625
286,cub_sim,30,6,mse,3617.4451424584895
287,cub_sim,30,6,mse,2031.892275551966
288,cub_sim,30,6,mse,2207.5874335762464
289,cub_sim,30,6,mse,1122.238941273676
290,spiral_sim,30,6,mse,1.3626754250497308
291,spiral_sim,30,6,mse,2.214481141857386
292,spiral_sim,30,6,mse,4.777720823527088
293,spiral_sim,30,6,mse,2.490812509268794
294,spiral_sim,30,6,mse,3.007551066476736
295,spiral_sim,30,6,mse,2.6892214511954906
296,spiral_sim,30,6,mse,1.6312487931204522
297,spiral_sim,30,6,mse,3.2844886771959545
298,spiral_sim,30,6,mse,0.9491594585553563
299,spiral_sim,30,6,mse,0.7059014862405788
300,cub_sim,30,7,mse,10426.685935583764
301,cub_sim,30,7,mse,645.1004496593858
302,cub_sim,30,7,mse,745.9336138461491
303,cub_sim,30,7,mse,397.43098499085477
304,cub_sim,30,7,mse,3600.382610640088
305,cub_sim,30,7,mse,22830.55776504394
306,cub_sim,30,7,mse,4106.089457262668
307,cub_sim,30,7,mse,3169.438904891253
308,cub_sim,30,7,mse,3520.210575789432
309,cub_sim,30,7,mse,1223.599011470897
