,n_samples,n_dim,split,mse
504,60,7,mae,0.3193192776663705
505,60,7,mae,0.330807594581133
506,60,7,mae,0.3276603069129381
507,60,7,mae,0.3402036873699292
508,60,7,mae,0.3566005829121609
509,60,7,mae,0.3480725776525518
510,60,8,mae,0.381270014969316
511,60,8,mae,0.36748955190080385
512,60,8,mae,0.34746687400895726
513,60,8,mae,0.35294201530300134
514,60,8,mae,0.3511522149679208
515,60,8,mae,0.35726898262292717
516,60,8,mae,0.3592698832572472
517,60,8,mae,0.36668544162984723
518,60,8,mae,0.36796215541271005
519,60,8,mae,0.3628074108725323
520,60,9,mae,0.37796518196274637
521,60,9,mae,0.37895284899011733
522,60,9,mae,0.39532868547338684
523,60,9,mae,0.3925230717486908
524,60,9,mae,0.3767695857868238
525,60,9,mae,0.37870370512399326
526,60,9,mae,0.3858625775819769
527,60,9,mae,0.40679028109518456
528,60,9,mae,0.3732288590939005
529,60,9,mae,0.37000819509093114
530,60,10,mae,0.41427794264653867
531,60,10,mae,0.4082798233924349
532,60,10,mae,0.40559413945506567
533,60,10,mae,0.4146277571416731
534,60,10,mae,0.3870653819691218
535,60,10,mae,0.3978970070440829
536,60,10,mae,0.3894179430403083
537,60,10,mae,0.4064942269713914
538,60,10,mae,0.39695165787944614
539,60,10,mae,0.4023886959169643
540,70,2,mae,0.15118413592916777
541,70,2,mae,0.12773945888568058
542,70,2,mae,0.16050086831553578
543,70,2,mae,0.13648787501099957
544,70,2,mae,0.15282703589114474
545,70,2,mae,0.14787121608348497
546,70,2,mae,0.13928957466059255
547,70,2,mae,0.13814634625181224
548,70,2,mae,0.1360888381542062
549,70,2,mae,0.14508006774628315
550,70,3,mae,0.18819566097175416
551,70,3,mae,0.18158149928268083
552,70,3,mae,0.18141808539648463
553,70,3,mae,0.20219869576630822
554,70,3,mae,0.1880800237768173
555,70,3,mae,0.19942967380094137
556,70,3,mae,0.17907563071342292
557,70,3,mae,0.17725056586390017
558,70,3,mae,0.18149545315352666
559,70,3,mae,0.18227816996041238
560,70,4,mae,0.21832336113001416
561,70,4,mae,0.2275299860900911
562,70,4,mae,0.2353228339837168
563,70,4,mae,0.24854219528054777
564,70,4,mae,0.2181584884136061
