,n_samples,n_dim,scale,split,mse
207,30,3,2.0408163265306123,mae,4.448608922228169
208,30,3,2.0408163265306123,mae,3.8304854624243685
209,30,3,2.0408163265306123,mae,3.304192465635586
210,30,3,2.142857142857143,mae,4.018124632942383
211,30,3,2.142857142857143,mae,4.34063477446493
212,30,3,2.142857142857143,mae,7.4982242229942875
213,30,3,2.142857142857143,mae,3.7375236687650495
214,30,3,2.142857142857143,mae,3.260210817170805
215,30,3,2.142857142857143,mae,6.642170137275902
216,30,3,2.142857142857143,mae,5.646303059707582
217,30,3,2.142857142857143,mae,4.53963448222376
218,30,3,2.142857142857143,mae,4.129679241352934
219,30,3,2.142857142857143,mae,2.716292497599094
220,30,3,2.2448979591836737,mae,5.7507423315788175
221,30,3,2.2448979591836737,mae,7.126129521433753
222,30,3,2.2448979591836737,mae,4.753527948485038
223,30,3,2.2448979591836737,mae,7.167990378654283
224,30,3,2.2448979591836737,mae,3.108758798820403
225,30,3,2.2448979591836737,mae,3.9743073928803296
226,30,3,2.2448979591836737,mae,3.126215546793918
227,30,3,2.2448979591836737,mae,4.397438636451434
228,30,3,2.2448979591836737,mae,2.9005034697333527
229,30,3,2.2448979591836737,mae,4.746727446039774
230,30,3,2.3469387755102042,mae,4.888249974886764
231,30,3,2.3469387755102042,mae,6.039937403207284
232,30,3,2.3469387755102042,mae,5.323447567773436
233,30,3,2.3469387755102042,mae,5.931021167625993
234,30,3,2.3469387755102042,mae,4.024937171967835
235,30,3,2.3469387755102042,mae,6.247554746441148
236,30,3,2.3469387755102042,mae,5.50546196209349
237,30,3,2.3469387755102042,mae,3.5700467313258475
238,30,3,2.3469387755102042,mae,5.514716954294025
239,30,3,2.3469387755102042,mae,4.545811269588409
240,30,3,2.4489795918367347,mae,5.644963390581779
241,30,3,2.4489795918367347,mae,6.682736866189708
242,30,3,2.4489795918367347,mae,4.896609438498818
243,30,3,2.4489795918367347,mae,6.527902474008494
244,30,3,2.4489795918367347,mae,8.059393007738931
245,30,3,2.4489795918367347,mae,7.6435064015318055
246,30,3,2.4489795918367347,mae,8.169647493814045
247,30,3,2.4489795918367347,mae,7.153918812662926
248,30,3,2.4489795918367347,mae,4.039998866520934
249,30,3,2.4489795918367347,mae,6.352232370491385
250,30,3,2.5510204081632653,mae,7.660366653817209
251,30,3,2.5510204081632653,mae,9.140971422501593
252,30,3,2.5510204081632653,mae,6.445709518058826
253,30,3,2.5510204081632653,mae,4.603673885102918
254,30,3,2.5510204081632653,mae,5.509495445733484
255,30,3,2.5510204081632653,mae,7.844210107036202
256,30,3,2.5510204081632653,mae,6.163998427298156
257,30,3,2.5510204081632653,mae,8.181581284936774
258,30,3,2.5510204081632653,mae,6.270931438037899
259,30,3,2.5510204081632653,mae,4.3635666325972355
260,30,3,2.6530612244897958,mae,4.875741178728249
261,30,3,2.6530612244897958,mae,4.08156690060409
262,30,3,2.6530612244897958,mae,5.2760887530308525
263,30,3,2.6530612244897958,mae,6.70015082309378
264,30,3,2.6530612244897958,mae,6.576248943879464
265,30,3,2.6530612244897958,mae,4.927480755356527
266,30,3,2.6530612244897958,mae,9.122954778114101
267,30,3,2.6530612244897958,mae,6.303783128108677
268,30,3,2.6530612244897958,mae,6.005287520198476
269,30,3,2.6530612244897958,mae,3.9564856862702698
270,30,3,2.7551020408163267,mae,9.471646195035014
271,30,3,2.7551020408163267,mae,8.027561566203213
272,30,3,2.7551020408163267,mae,8.255565609344668
273,30,3,2.7551020408163267,mae,8.269059012046188
274,30,3,2.7551020408163267,mae,7.0563923963721065
275,30,3,2.7551020408163267,mae,5.1822406713175475
276,30,3,2.7551020408163267,mae,6.671328219948738
277,30,3,2.7551020408163267,mae,9.528694080053471
278,30,3,2.7551020408163267,mae,6.852715584583203
279,30,3,2.7551020408163267,mae,8.283572675260336
280,30,3,2.857142857142857,mae,9.754438697149833
281,30,3,2.857142857142857,mae,8.870996095707591
282,30,3,2.857142857142857,mae,10.277363118304534
283,30,3,2.857142857142857,mae,4.976630057020854
284,30,3,2.857142857142857,mae,10.016385718668875
285,30,3,2.857142857142857,mae,8.067263631384487
286,30,3,2.857142857142857,mae,6.688191561729539
287,30,3,2.857142857142857,mae,6.518573909692708
288,30,3,2.857142857142857,mae,6.386354090085444
289,30,3,2.857142857142857,mae,6.13213730116731
290,30,3,2.9591836734693877,mae,7.438007302791239
291,30,3,2.9591836734693877,mae,6.131256301452809
292,30,3,2.9591836734693877,mae,5.749007990290564
293,30,3,2.9591836734693877,mae,12.927280724621767
294,30,3,2.9591836734693877,mae,8.934562198209651
295,30,3,2.9591836734693877,mae,5.395078134804728
296,30,3,2.9591836734693877,mae,6.786218115091193
297,30,3,2.9591836734693877,mae,10.407980400717273
298,30,3,2.9591836734693877,mae,6.828085248351015
299,30,3,2.9591836734693877,mae,8.019545342303795
300,30,3,3.0612244897959187,mae,7.681338146530307
301,30,3,3.0612244897959187,mae,7.873836599906073
302,30,3,3.0612244897959187,mae,11.364678578812319
303,30,3,3.0612244897959187,mae,8.492642309520058
304,30,3,3.0612244897959187,mae,9.561899480568103
305,30,3,3.0612244897959187,mae,8.416668037950028
306,30,3,3.0612244897959187,mae,7.614656340088966
307,30,3,3.0612244897959187,mae,9.232469774002965
308,30,3,3.0612244897959187,mae,7.082296826203403
309,30,3,3.0612244897959187,mae,7.848679073349556
310,30,3,3.163265306122449,mae,4.7946957896125895
311,30,3,3.163265306122449,mae,8.981986749333979
312,30,3,3.163265306122449,mae,10.931502787918397
313,30,3,3.163265306122449,mae,7.903483338002096
314,30,3,3.163265306122449,mae,9.910509462397917
315,30,3,3.163265306122449,mae,8.839778191947111
316,30,3,3.163265306122449,mae,10.88139256174556
317,30,3,3.163265306122449,mae,9.076908038559992
318,30,3,3.163265306122449,mae,8.86503224405098
319,30,3,3.163265306122449,mae,7.982434767143697
320,30,3,3.2653061224489797,mae,13.65070932207374
321,30,3,3.2653061224489797,mae,13.30525922419155
322,30,3,3.2653061224489797,mae,8.179766741243007
323,30,3,3.2653061224489797,mae,8.920222509806306
324,30,3,3.2653061224489797,mae,13.553788016868678
325,30,3,3.2653061224489797,mae,17.41933594902161
326,30,3,3.2653061224489797,mae,6.258771812592432
327,30,3,3.2653061224489797,mae,9.760185537566008
328,30,3,3.2653061224489797,mae,13.766181644259207
329,30,3,3.2653061224489797,mae,12.195124688016891
330,30,3,3.36734693877551,mae,12.4161798796299
331,30,3,3.36734693877551,mae,7.846679986906725
332,30,3,3.36734693877551,mae,10.389800807772476
333,30,3,3.36734693877551,mae,11.171940624817049
334,30,3,3.36734693877551,mae,13.258312038832782
335,30,3,3.36734693877551,mae,11.524493007383862
336,30,3,3.36734693877551,mae,6.552002056853073
337,30,3,3.36734693877551,mae,8.567045662312449
338,30,3,3.36734693877551,mae,13.156628073864656
339,30,3,3.36734693877551,mae,15.925553676059053
340,30,3,3.4693877551020407,mae,13.551721115367718
341,30,3,3.4693877551020407,mae,15.460632776495016
342,30,3,3.4693877551020407,mae,15.393805411396185
343,30,3,3.4693877551020407,mae,12.83837150786568
344,30,3,3.4693877551020407,mae,10.600299998212403
345,30,3,3.4693877551020407,mae,7.375830731941887
346,30,3,3.4693877551020407,mae,5.683662109603751
347,30,3,3.4693877551020407,mae,9.073459000267663
348,30,3,3.4693877551020407,mae,6.8831132167100115
349,30,3,3.4693877551020407,mae,13.602402432279868
350,30,3,3.5714285714285716,mae,10.256456999837857
351,30,3,3.5714285714285716,mae,5.664261618039527
352,30,3,3.5714285714285716,mae,17.05267269597118
353,30,3,3.5714285714285716,mae,12.214947669685186
354,30,3,3.5714285714285716,mae,16.888903129155544
355,30,3,3.5714285714285716,mae,15.647329836227362
356,30,3,3.5714285714285716,mae,11.888509963519908
357,30,3,3.5714285714285716,mae,10.225220964950285
358,30,3,3.5714285714285716,mae,21.831327266760546
359,30,3,3.5714285714285716,mae,9.630030930517046
360,30,3,3.673469387755102,mae,12.05522134206428
361,30,3,3.673469387755102,mae,14.722819476646517
362,30,3,3.673469387755102,mae,12.763833381911494
363,30,3,3.673469387755102,mae,14.46126718646133
364,30,3,3.673469387755102,mae,7.004521503501006
365,30,3,3.673469387755102,mae,7.5709525817169325
366,30,3,3.673469387755102,mae,7.244153301850664
367,30,3,3.673469387755102,mae,11.282285482722283
368,30,3,3.673469387755102,mae,15.59517693878164
369,30,3,3.673469387755102,mae,10.7022665992025
370,30,3,3.7755102040816326,mae,11.487497424861195
371,30,3,3.7755102040816326,mae,10.002621518346144
372,30,3,3.7755102040816326,mae,15.148974909980973
373,30,3,3.7755102040816326,mae,13.207810024999116
374,30,3,3.7755102040816326,mae,12.956812255075393
375,30,3,3.7755102040816326,mae,12.189084136917108
376,30,3,3.7755102040816326,mae,12.29205289736603
377,30,3,3.7755102040816326,mae,12.266811696727414
378,30,3,3.7755102040816326,mae,15.080264034710439
379,30,3,3.7755102040816326,mae,13.108871316985562
380,30,3,3.8775510204081636,mae,12.862901722527491
381,30,3,3.8775510204081636,mae,15.262841150861021
382,30,3,3.8775510204081636,mae,9.082154386714242
383,30,3,3.8775510204081636,mae,14.561090410196986
384,30,3,3.8775510204081636,mae,21.819757892521093
385,30,3,3.8775510204081636,mae,14.65732165319003
386,30,3,3.8775510204081636,mae,14.841717941168723
387,30,3,3.8775510204081636,mae,9.927607334713574
388,30,3,3.8775510204081636,mae,11.235906276702988
389,30,3,3.8775510204081636,mae,10.383263757687164
390,30,3,3.979591836734694,mae,14.385214087344815
391,30,3,3.979591836734694,mae,17.65394367679483
392,30,3,3.979591836734694,mae,14.718663032754014
393,30,3,3.979591836734694,mae,17.774110762681627
394,30,3,3.979591836734694,mae,16.931909151759548
395,30,3,3.979591836734694,mae,21.330526149109637
396,30,3,3.979591836734694,mae,17.533293102550726
397,30,3,3.979591836734694,mae,13.268284361773595
398,30,3,3.979591836734694,mae,11.072496628858849
