,n_samples,simulation,criterion,average,error
266,25,diamond,friedman_mse,0.0597009309847899,0.00019641557149531876
267,25,log,mae,0.3180812681869687,0.0015023281550762663
268,25,log,mse,0.32065355464821993,0.0009592420235114578
269,25,log,friedman_mse,0.3120880833953811,0.000679766747219054
270,25,quadratic,mae,3.3837395459803092,0.05443631787260986
271,25,quadratic,mse,3.325187333258357,0.05072151560503494
272,25,quadratic,friedman_mse,3.467235100909131,0.03151097452981941
273,25,w_shape,mae,4.063614562594364,0.03166830223579535
274,25,w_shape,mse,4.1161010753514535,0.06622490768552253
275,25,w_shape,friedman_mse,5.340358091481518,0.19400277281828848
276,25,two_parabolas,mae,0.04237717745603354,0.0006234278268641874
277,25,two_parabolas,mse,0.040774778643556955,0.0004593033535822354
278,25,two_parabolas,friedman_mse,0.042303156705156525,0.0007870588539922629
279,25,fourth_root,mae,0.19927297819551784,0.001475454369567172
280,25,fourth_root,mse,0.19481911170917332,0.001195885459554726
281,25,fourth_root,friedman_mse,0.18896972614560031,0.0012802054139749634
282,25,multi_indept,mae,0.11138442418179675,0.0006243282978029131
283,25,multi_indept,mse,0.11244828312301418,0.0007822915506928421
284,25,multi_indept,friedman_mse,0.11300571174044682,0.0005547738898975748
285,25,bernoulli,mae,1.6654511758520436,0.011145204656032684
286,25,bernoulli,mse,1.7312737095789217,0.01698308039585576
287,25,bernoulli,friedman_mse,1.7274399716491786,0.00996895517813465
288,25,square,mae,0.06007706765965237,0.00012674202236544896
289,25,square,mse,0.06017788194937272,0.0002618850494641868
290,25,square,friedman_mse,0.05964964126865174,0.00012054271508463076
291,25,linear,mae,0.7933301000823103,0.0074769827630822945
292,25,linear,mse,0.7636038235468001,0.0049286038884750905
293,25,linear,friedman_mse,0.7744658825890939,0.003781863438715412
294,25,exponential,mae,184.67141112262593,2.287724694539465
295,25,exponential,mse,201.21662866969558,3.276494016247662
296,25,exponential,friedman_mse,188.91058383665438,2.142083086748287
297,25,cubic,mae,134.08763793656584,2.5748570344419064
298,25,cubic,mse,147.30116916849101,3.1377771810238277
299,25,cubic,friedman_mse,141.20281220720534,2.418229101610602
300,30,joint_normal,mae,0.11030044395510688,0.0002501413600237057
301,30,joint_normal,mse,0.11026286918868433,0.00032417423306830016
302,30,joint_normal,friedman_mse,0.10893418894634654,0.0005043274754005814
303,30,sine_4pi,mae,0.07258096353029761,0.00020413494697027587
304,30,sine_4pi,mse,0.07262520270995675,0.00018265389208528844
305,30,sine_4pi,friedman_mse,0.0721891339629093,0.0001962584259094383
306,30,sine_16pi,mae,0.07244482089943799,0.0001798162517748731
307,30,sine_16pi,mse,0.07262614711314887,0.0001644819812824576
308,30,sine_16pi,friedman_mse,0.07230378566200943,0.00015387305460747163
309,30,multi_noise,mae,0.10503785528304668,0.0002319709119516719
310,30,multi_noise,mse,0.10496243374747553,0.0002165513806043875
311,30,multi_noise,friedman_mse,0.10453057484218294,0.0002344908914012772
312,30,step,mae,0.5514892720251879,0.005493294468061395
313,30,step,mse,0.5495848902675379,0.003152548011028984
314,30,step,friedman_mse,0.5421452331084304,0.0027800686647246413
315,30,spiral,mae,5.2020901166643165,0.07184309447756682
316,30,spiral,mse,5.16258575087684,0.06693427520622026
317,30,spiral,friedman_mse,5.036766976374028,0.09514677480876627
318,30,circle,mae,0.0756705372383258,0.00040239736028437403
319,30,circle,mse,0.07553087030786623,0.00040085346038497326
320,30,circle,friedman_mse,0.07664779379125428,0.000836067352891513
321,30,ellipse,mae,0.07356812118454639,0.0003925197855797606
322,30,ellipse,mse,0.07480475071928268,0.000650978124093839
323,30,ellipse,friedman_mse,0.07447685808326468,0.0006328406044559266
324,30,diamond,mae,0.05980175392822329,9.88025441219636e-05
325,30,diamond,mse,0.05967752420256319,7.906029654941943e-05
326,30,diamond,friedman_mse,0.059661470249748286,9.052282077434625e-05
327,30,log,mae,0.3077396072662577,0.001284486088524545
328,30,log,mse,0.30808151964280794,0.0005255584466763481
329,30,log,friedman_mse,0.3099891650256349,0.0008029011350782486
330,30,quadratic,mae,3.390411874483044,0.06423710927969367
